name,accession,date,loc
hCoV-19/Austria/CeMM1480/2020|EPI_ISL_853979|2020-10-28,EPI_ISL_853979,2020-10-28,Austria
hCoV-19/Austria/CeMM3576/2021|EPI_ISL_1008304|2021-01-25,EPI_ISL_1008304,2021-01-25,Austria
hCoV-19/Austria/CeMM4142/2021|EPI_ISL_1117890|2021-02-09,EPI_ISL_1117890,2021-02-09,Austria
hCoV-19/Austria/CeMM5989/2021|EPI_ISL_1495771|2021-03-13,EPI_ISL_1495771,2021-03-13,Austria
hCoV-19/Austria/CeMM8686/2021|EPI_ISL_2232838|2021-04-28,EPI_ISL_2232838,2021-04-28,Austria
hCoV-19/Austria/CeMM8719/2021|EPI_ISL_2232868|2021-04-30,EPI_ISL_2232868,2021-04-30,Austria
hCoV-19/Austria/CeMM8790/2021|EPI_ISL_2232918|2021-04-30,EPI_ISL_2232918,2021-04-30,Austria
hCoV-19/Austria/MUW_1337238/2020|EPI_ISL_1020297|2020-09-18,EPI_ISL_1020297,2020-09-18,Austria
hCoV-19/Azerbaijan/Aghayev-09/2021|EPI_ISL_2161030|2021-02-01,EPI_ISL_2161030,2021-02-01,Azerbaijan
hCoV-19/Azerbaijan/Aghayev-12/2021|EPI_ISL_2161167|2021-03-01,EPI_ISL_2161167,2021-03-01,Azerbaijan
hCoV-19/Bahamas/10929/2021|EPI_ISL_1415419|2021-01-18,EPI_ISL_1415419,2021-01-18,Bahamas
hCoV-19/Bahamas/33382/2021|EPI_ISL_2982831|2021-03-18,EPI_ISL_2982831,2021-03-18,Bahamas
hCoV-19/Bahamas/33820/2020|EPI_ISL_1415416|2020-03-29,EPI_ISL_1415416,2020-03-29,Bahamas
hCoV-19/Bahamas/33823/2020|EPI_ISL_1415414|2020-04-19,EPI_ISL_1415414,2020-04-19,Bahamas
hCoV-19/Bahamas/33826/2020|EPI_ISL_1415412|2020-07-28,EPI_ISL_1415412,2020-07-28,Bahamas
hCoV-19/Bahamas/33828/2020|EPI_ISL_1415410|2020-08-03,EPI_ISL_1415410,2020-08-03,Bahamas
hCoV-19/Bahamas/33829/2020|EPI_ISL_1415409|2020-09-03,EPI_ISL_1415409,2020-09-03,Bahamas
hCoV-19/Bahamas/33833/2020|EPI_ISL_1415407|2020-10-19,EPI_ISL_1415407,2020-10-19,Bahamas
hCoV-19/Bahrain/340654690/2020|EPI_ISL_681309|2020-09-10,EPI_ISL_681309,2020-09-10,Bahrain
hCoV-19/Bahrain/340685804/2020|EPI_ISL_682300|2020-09-14,EPI_ISL_682300,2020-09-14,Bahrain
hCoV-19/Bahrain/341509978/2021|EPI_ISL_2715288|2021-02-14,EPI_ISL_2715288,2021-02-14,Bahrain
hCoV-19/Bahrain/342066066/2021|EPI_ISL_2932660|2021-05-14,EPI_ISL_2932660,2021-05-14,Bahrain
hCoV-19/Bahrain/342314485/2021|EPI_ISL_3699162|2021-06-26,EPI_ISL_3699162,2021-06-26,Bahrain
hCoV-19/Bahrain/342377165/2021|EPI_ISL_3568653|2021-07-17,EPI_ISL_3568653,2021-07-17,Bahrain
hCoV-19/Bahrain/830868828/2021|EPI_ISL_3663258|2021-07-12,EPI_ISL_3663258,2021-07-12,Bahrain
hCoV-19/Bahrain/920509111/2020|EPI_ISL_684031|2020-11-12,EPI_ISL_684031,2020-11-12,Bahrain
hCoV-19/Bahrain/921080178/2021|EPI_ISL_2932652|2021-06-29,EPI_ISL_2932652,2021-06-29,Bahrain
hCoV-19/Bahrain/BAH-20/2020|EPI_ISL_483561|2020-04-08,EPI_ISL_483561,2020-04-08,Bahrain
hCoV-19/Bahrain/USAFSAM-S3260/2021|EPI_ISL_2661499|2021-05-15,EPI_ISL_2661499,2021-05-15,Bahrain
hCoV-19/Bangladesh/BCSIR-NILMRC-126/2020|EPI_ISL_480444|2020-06-17,EPI_ISL_480444,2020-06-17,Bangladesh
hCoV-19/Bangladesh/BCSIR-NILMRC-797/2021|EPI_ISL_2796520|2021-06-10,EPI_ISL_2796520,2021-06-10,Bangladesh
hCoV-19/Bangladesh/BCSIR-SUST-03/2021|EPI_ISL_1538417|2021-01-08,EPI_ISL_1538417,2021-01-08,Bangladesh
hCoV-19/Bangladesh/CHRF-0292_CU/2021|EPI_ISL_2445989|2021-04-30,EPI_ISL_2445989,2021-04-30,Bangladesh
hCoV-19/Bangladesh/CHRF-0363/2021|EPI_ISL_2692857|2021-05-10,EPI_ISL_2692857,2021-05-10,Bangladesh
hCoV-19/Bangladesh/CHRF-0368/2021|EPI_ISL_3071080|2021-06-19,EPI_ISL_3071080,2021-06-19,Bangladesh
